year,raceId,driverId,LapNumber,Position,LapTime_Str,LapTime_Seconds,TyreLife,LapTime_Delta,Stint,ShouldPit
2022,Australian Grand Prix,bottas,58,8,1:22.757,82.757,8,0.5560000000000116,1,0
2022,Australian Grand Prix,gasly,1,9,1:36.461,96.461,1,0.0,1,0
2022,Australian Grand Prix,gasly,2,9,1:26.622,86.622,2,-9.838999999999999,1,0
2022,Australian Grand Prix,gasly,3,9,1:52.958,112.958,3,26.336,1,1
2022,Australian Grand Prix,gasly,4,9,2:13.647,133.647,4,20.688999999999993,1,1
2022,Australian Grand Prix,gasly,5,9,2:15.616,135.61599999999999,5,1.968999999999994,1,1
2022,Australian Grand Prix,gasly,56,10,1:23.031,83.031,6,-52.58499999999998,1,0
2022,Australian Grand Prix,gasly,57,10,1:23.302,83.30199999999999,7,0.2709999999999866,1,0
2022,Australian Grand Prix,gasly,58,9,1:23.333,83.333,8,0.03100000000000591,1,0
2022,Australian Grand Prix,hamilton,1,3,1:31.296,91.29599999999999,1,0.0,1,0
2022,Australian Grand Prix,hamilton,2,3,1:25.455,85.455,2,-5.840999999999994,1,0
2022,Australian Grand Prix,hamilton,3,3,1:48.986,108.98599999999999,3,23.53099999999999,1,1
2022,Australian Grand Prix,hamilton,4,3,2:13.414,133.414,4,24.427999999999997,1,1
2022,Australian Grand Prix,hamilton,5,3,2:12.374,132.374,5,-1.039999999999992,1,0
2022,Australian Grand Prix,hamilton,6,3,2:22.239,142.239,6,9.865000000000009,1,1
2022,Australian Grand Prix,hamilton,57,4,1:22.623,82.623,7,-59.616,1,0
2022,Australian Grand Prix,hamilton,58,4,1:22.526,82.526,8,-0.09700000000000841,1,0
2022,Australian Grand Prix,kevin_magnussen,1,16,1:39.709,99.709,1,0.0,1,0
2022,Australian Grand Prix,kevin_magnussen,2,15,1:28.121,88.121,2,-11.588000000000008,1,0
2022,Australian Grand Prix,kevin_magnussen,3,15,1:54.623,114.62299999999999,3,26.501999999999995,1,1
2022,Australian Grand Prix,kevin_magnussen,4,15,2:11.897,131.897,4,17.274,1,1
2022,Australian Grand Prix,kevin_magnussen,5,15,2:17.172,137.172,5,5.275000000000006,1,1
2022,Australian Grand Prix,kevin_magnussen,56,14,1:25.492,85.492,6,-51.67999999999999,1,0
2022,Australian Grand Prix,kevin_magnussen,57,14,1:24.285,84.285,7,-1.2070000000000078,1,0
2022,Australian Grand Prix,latifi,1,18,1:40.840,100.84,1,0.0,1,0
2022,Australian Grand Prix,latifi,2,17,1:28.794,88.794,2,-12.046000000000006,1,0
2022,Australian Grand Prix,latifi,3,17,1:55.664,115.664,3,26.870000000000005,1,1
2022,Australian Grand Prix,latifi,4,17,2:12.550,132.55,4,16.88600000000001,1,1
2022,Australian Grand Prix,latifi,5,17,2:16.809,136.809,5,4.258999999999986,1,1
2022,Australian Grand Prix,latifi,56,16,1:23.924,83.924,6,-52.88499999999999,1,0
